mijoz_id,to'liq_ism,jinsi,tug'ilgan_sana,yoshi,Yosh_guruxi,viloyat,shahar_tuman,telefon,email,ro'yxatdan_o'tgan_sana,mijoz_staji_oy,Mijoz_staji_guruxi,bank,filial,mijoz_segmenti,ta'lim,kasb_sohasi,oilaviy_holat,o'rtacha_oylik_daromad_uzs,Daromad_guruxi,kredit_reytingi,Kredit_reytingi_guruxi,hisob_qoldig'i_uzs,kredit_mavjud,kredit_summasi_uzs,kredit_turi,yillik_foiz_stavkasi,kredit_muddati_oy,Kredit_yuklamasi_foiz,depozit_mavjud,depozit_summasi_uzs,mahsulotlar_soni,asosiy_mahsulot,karta_turi,oxirgi_oy_tranzaksiyalar_soni,oxirgi_oy_tranzaksiya_hajmi_uzs,Faollik_darajasi,mobil_ilova_foydalanadi,internet_banking,oxirgi_kirish_kunlari,Raqamli_mijoz,xavf_reytingi,kyc_status,muddati_o'tgan_qarz,muddati_o'tgan_kunlar,jalb_qilish_kanali,faol_mijoz,risk_segmenti,viloyat_kredit_orni,churn_xavfi,ketib_qolish_xavfi,mijoz_qiymat_indeksi,mijoz_toifasi
UZB100937,Tursunova Asal,Ayol,1998-08-30,27,25-34,Andijon,Andijon shahri,998944000000.0,asal.tursun17@gmail.com,2023-11-18,33,O‘rta (1-3 yil),Agrobank,Filial-021,SME,Bakalavr,Davlat xizmati,Uylangan/Turmushga chiqqan,10298283,Yuqori (7-15 mln),699,Yaxshi (650-749),1305139,Yo‘q,0,,,,0.0,Yo‘q,0,2,Plastik karta,Mastercard Standard,13,1339406,Faol,Yo‘q,Ha,45.0,Raqamli,Past,Kutilmoqda,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1121873.37,Platina (Tier 1)
UZB101580,Xolmatova Shahnoza,Ayol,1979-05-30,47,45-54,Andijon,Shahrixon,998939000000.0,shahnoza.xolmat90@gmail.com,2025-08-02,12,O‘rta (1-3 yil),Trastbank,Filial-027,Retail,Magistr,IT/Texnologiya,Uylangan/Turmushga chiqqan,6061130,O‘rta (3-7 mln),577,O‘rta (500-649),1718005,Yo‘q,0,,,,0.0,Ha,23972263,4,Overdraft,UnionPay,9,2061514,Faol,Ha,Ha,8.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,733243.53,Oltin (Tier 2)
UZB101597,Kamolova Hilola,Ayol,2004-12-08,21,18-24,Andijon,Andijon shahri,998905000000.0,hilola.kamolo27@mail.ru,2021-09-28,59,Uzoq muddatli (3+ yil),InFinBank,Filial-054,Mass,O‘rta maxsus,Qurilish,Uylangan/Turmushga chiqqan,2466956,Past (< 3 mln),588,O‘rta (500-649),11715752,Yo‘q,0,,,,0.0,Ha,2685257,4,Kredit kartasi,UnionPay,14,2651749,Faol,Ha,Yo‘q,7.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,885518.1799999999,Oltin (Tier 2)
UZB101604,Tursunov Dilshod,Erkak,1982-07-24,44,35-44,Andijon,Xonobod,998992000000.0,dilshod.tursun41@yandex.ru,2023-10-30,34,O‘rta (1-3 yil),Milliy bank,Filial-049,Retail,Oliy,Ta’lim,Bo‘ydoq,18907434,Juda yuqori (15+ mln),560,O‘rta (500-649),838432,Yo‘q,0,,,,0.0,Yo‘q,0,4,Plastik karta,Humo,9,1545726,Faol,Ha,Ha,17.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1963579.5200000003,Platina (Tier 1)
UZB101610,Abdullayev Kamol,Erkak,1970-11-25,55,55+,Andijon,Xonobod,998999000000.0,kamol.abdull95@mail.ru,2022-05-20,51,Uzoq muddatli (3+ yil),Agrobank,Filial-027,Retail,Oliy,Davlat xizmati,Ajrashgan,2660965,Past (< 3 mln),498,Yomon (<500),1555394,Yo‘q,0,,,,0.0,Ha,57319476,3,Mikroqarz,Visa Gold,8,10899248,Faol,Ha,Yo‘q,41.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,561851.16,Oddiy (Tier 3)
UZB103204,Hasanova Dildora,Ayol,1990-08-04,36,35-44,Andijon,Asaka,998887000000.0,dildora.hasano95@inbox.uz,2024-03-05,30,O‘rta (1-3 yil),Xalq banki,Filial-079,Corporate,O‘rta,Bank/Moliya,Bo‘ydoq,7792612,Yuqori (7-15 mln),666,Yaxshi (650-749),3392067,Yo‘q,0,,,,0.0,Ha,625957,2,Avtokredit,Mastercard Standard,9,11443998,Faol,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1177744.51,Platina (Tier 1)
UZB103186,Yusupov Jamshid,Erkak,2008-08-07,18,18-24,Andijon,Xonobod,998908000000.0,jamshid.yusupo84@yandex.ru,2026-02-07,6,Yangi (<1 yil),Milliy bank,Filial-032,SME,O‘rta maxsus,Bank/Moliya,Uylangan/Turmushga chiqqan,7848434,Yuqori (7-15 mln),609,O‘rta (500-649),2025590,Yo‘q,0,,,,0.0,Yo‘q,0,3,Biznes krediti,Visa Gold,6,2161215,O‘rtacha,Ha,Ha,2.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,929347.2000000001,Oltin (Tier 2)
UZB101619,Hasanov Anvar,Erkak,2000-11-29,25,25-34,Andijon,Asaka,998941000000.0,anvar.hasano76@umail.uz,2024-05-03,28,O‘rta (1-3 yil),Trastbank,Filial-013,Retail,O‘rta maxsus,Ta’lim,Bo‘ydoq,5020892,O‘rta (3-7 mln),605,O‘rta (500-649),236823,Yo‘q,0,,,,0.0,Yo‘q,0,2,Plastik karta,Mastercard Gold,8,4811133,Faol,Ha,Ha,2.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,610153.01,Oddiy (Tier 3)
UZB103182,Mirzayev Bahrom,Erkak,2003-08-05,23,18-24,Andijon,Andijon shahri,998883000000.0,bahrom.mirzay61@mail.ru,2024-06-11,26,O‘rta (1-3 yil),Turonbank,Filial-035,Retail,O‘rta maxsus,O‘zini o‘zi band qilgan,Bo‘ydoq,13814053,Yuqori (7-15 mln),543,O‘rta (500-649),10635644,Yo‘q,0,,,,0.0,Yo‘q,0,5,Mikroqarz,Visa Gold,12,2199640,Faol,Ha,Ha,7.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1957180.3,Platina (Tier 1)
UZB103162,Axmedov Mirzo,Erkak,2004-12-13,21,18-24,Andijon,Andijon shahri,998972000000.0,mirzo.axmedo57@gmail.com,2022-02-18,55,Uzoq muddatli (3+ yil),Hamkorbank,Filial-013,Retail,Bakalavr,Savdo,Bo‘ydoq,2447031,Past (< 3 mln),668,Yaxshi (650-749),1779289,Yo‘q,0,,,,0.0,Yo‘q,0,3,Avtokredit,Uzcard,5,351196,O‘rtacha,Yo‘q,Ha,10.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,340691.47000000003,Oddiy (Tier 3)
UZB100332,Usmonov Bahrom,Erkak,1996-05-31,30,25-34,Andijon,Andijon shahri,998913000000.0,bahrom.usmono17@umail.uz,2023-07-02,38,Uzoq muddatli (3+ yil),Ipoteka-bank,Filial-039,SME,O‘rta maxsus,Bank/Moliya,Bo‘ydoq,5968973,O‘rta (3-7 mln),672,Yaxshi (650-749),3677928,Yo‘q,0,,,,0.0,Yo‘q,0,1,Muddatli depozit,Uzcard,8,4136587,Faol,Ha,Yo‘q,14.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,863525.4400000001,Oltin (Tier 2)
UZB103154,Nazarov Hasan,Erkak,2007-11-11,18,18-24,Andijon,Asaka,998886000000.0,hasan.nazaro92@mail.ru,2026-05-07,3,Yangi (<1 yil),Tenge Bank,Filial-019,VIP,Oliy,Turizm,Uylangan/Turmushga chiqqan,11421563,Yuqori (7-15 mln),642,O‘rta (500-649),4171199,Yo‘q,0,,,,0.0,Ha,1312158,1,Plastik karta,Mastercard Gold,4,3369491,O‘rtacha,Ha,Ha,66.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),143,Yuqori Churn Xavfi,Yuqori ketish Xavfi,1418106.07,Platina (Tier 1)
UZB103153,Toshmatov Sardor,Erkak,1995-07-06,31,25-34,Andijon,Andijon shahri,998996000000.0,sardor.toshma49@umail.uz,2023-04-07,41,Uzoq muddatli (3+ yil),Milliy bank,Filial-009,Retail,Oliy,Ishlab chiqarish,Bo‘ydoq,3398053,O‘rta (3-7 mln),562,O‘rta (500-649),16900449,Yo‘q,0,,,,0.0,Ha,1237753,1,Biznes krediti,Uzcard,25,27013512,Juda faol,Ha,Ha,9.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1725097.99,Platina (Tier 1)
UZB101667,Normatov Eldor,Erkak,1994-04-11,32,25-34,Andijon,Asaka,998942000000.0,eldor.normat84@yandex.ru,2020-08-22,73,Uzoq muddatli (3+ yil),Aloqabank,Filial-078,VIP,O‘rta maxsus,Qurilish,Uylangan/Turmushga chiqqan,13481514,Yuqori (7-15 mln),711,Yaxshi (650-749),1311881,Yo‘q,0,,,,0.0,Yo‘q,0,2,Iste’mol krediti,Uzcard,12,588036,Faol,Ha,Yo‘q,7.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1425506.1700000002,Platina (Tier 1)
UZB103121,Nazarov Sardor,Erkak,1987-04-24,39,35-44,Andijon,Xonobod,998906000000.0,sardor.nazaro88@inbox.uz,2020-08-18,73,Uzoq muddatli (3+ yil),Tenge Bank,Filial-052,Retail,O‘rta maxsus,Transport,Uylangan/Turmushga chiqqan,7620048,Yuqori (7-15 mln),695,Yaxshi (650-749),328547,Yo‘q,0,,,,0.0,Yo‘q,0,1,Mikroqarz,Visa Classic,8,1039248,Faol,Ha,Ha,1.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,799217.11,Oltin (Tier 2)
UZB100903,Mamatov Farhod,Erkak,1963-06-03,63,55+,Andijon,Shahrixon,998909000000.0,farhod.mamato30@mail.ru,2018-09-10,96,Uzoq muddatli (3+ yil),Agrobank,Filial-003,Retail,Magistr,Qurilish,Bo‘ydoq,14551538,Yuqori (7-15 mln),502,O‘rta (500-649),2494870,Yo‘q,0,,,,0.0,Ha,8963494,4,Overdraft,UnionPay,6,4769872,O‘rtacha,Ha,Ha,10.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1675294.74,Platina (Tier 1)
UZB100361,Latipova Oydin,Ayol,1992-06-26,34,25-34,Andijon,Andijon shahri,998959000000.0,oydin.latipo78@umail.uz,2023-04-02,41,Uzoq muddatli (3+ yil),Turonbank,Filial-053,Corporate,Bakalavr,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,4061358,O‘rta (3-7 mln),643,O‘rta (500-649),10148243,Yo‘q,0,,,,0.0,Ha,4111130,5,Plastik karta,UnionPay,18,4737335,Faol,Ha,Yo‘q,7.0,Raqamli,O‘rta,Kutilmoqda,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1008294.65,Oltin (Tier 2)
UZB103086,Kamolova Sevara,Ayol,1982-10-04,43,35-44,Andijon,Andijon shahri,998974000000.0,sevara.kamolo43@umail.uz,2020-08-27,73,Uzoq muddatli (3+ yil),Universal bank,Filial-055,Retail,Magistr,IT/Texnologiya,Uylangan/Turmushga chiqqan,2057492,Past (< 3 mln),630,O‘rta (500-649),2402256,Yo‘q,0,,,,0.0,Yo‘q,0,1,Plastik karta,Uzcard,4,5212464,O‘rtacha,Ha,Yo‘q,0.0,Raqamli,Past,Kutilmoqda,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,430111.28,Oddiy (Tier 3)
UZB103059,Valiyev Xurshid,Erkak,1976-10-14,49,45-54,Andijon,Asaka,998337000000.0,xurshid.valiye62@mail.ru,2024-09-30,23,O‘rta (1-3 yil),Tenge Bank,Filial-002,Retail,O‘rta,Savdo,Uylangan/Turmushga chiqqan,1625365,Past (< 3 mln),628,O‘rta (500-649),9765843,Yo‘q,0,,,,0.0,Ha,21661673,1,Avtokredit,UnionPay,25,4115511,Juda faol,Yo‘q,Yo‘q,,An’anaviy,Past,Kutilmoqda,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,733138.87,Oltin (Tier 2)
UZB103036,Axmedova Parvina,Ayol,1996-11-26,29,25-34,Andijon,Shahrixon,998920000000.0,parvina.axmedo25@yandex.ru,2019-03-07,90,Uzoq muddatli (3+ yil),Qishloq qurilish bank,Filial-007,Retail,O‘rta,Xizmat ko‘rsatish,Bo‘ydoq,2597100,Past (< 3 mln),600,O‘rta (500-649),202682,Yo‘q,0,,,,0.0,Ha,819817,2,Avtokredit,Mastercard Standard,9,1509471,Faol,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,300033.51999999996,Oddiy (Tier 3)
UZB101724,Zokirov Vali,Erkak,1968-06-12,58,55+,Andijon,Andijon shahri,998887000000.0,vali.zokiro16@gmail.com,2019-07-22,86,Uzoq muddatli (3+ yil),Tenge Bank,Filial-030,Mass,O‘rta maxsus,Turizm,Bo‘ydoq,1500000,Past (< 3 mln),571,O‘rta (500-649),444666,Yo‘q,0,,,,0.0,Yo‘q,0,1,Mikroqarz,Mastercard Gold,9,2557771,Faol,Ha,Yo‘q,14.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,223388.71999999997,Oddiy (Tier 3)
UZB101755,Latipova Barno,Ayol,1986-02-05,40,35-44,Andijon,Xonobod,998991000000.0,barno.latipo40@umail.uz,2019-08-07,85,Uzoq muddatli (3+ yil),Qishloq qurilish bank,Filial-079,Retail,Magistr,IT/Texnologiya,Bo‘ydoq,1810727,Past (< 3 mln),715,Yaxshi (650-749),2256600,Yo‘q,0,,,,0.0,Yo‘q,0,1,Kredit kartasi,Mastercard Gold,3,944305,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,Yuqori,Tasdiqlangan,Yo‘q,0,Agent,Yo‘q,Past risk (Xavfsiz),143,Yuqori Churn Xavfi,Yuqori ketish Xavfi,312788.8,Oddiy (Tier 3)
UZB101774,Boboyeva Parvina,Ayol,1979-05-16,47,45-54,Andijon,Shahrixon,998914000000.0,parvina.boboye32@inbox.uz,2019-07-04,87,Uzoq muddatli (3+ yil),Davr bank,Filial-039,SME,Oliy,Ta’lim,Uylangan/Turmushga chiqqan,5134363,O‘rta (3-7 mln),682,Yaxshi (650-749),8322621,Yo‘q,0,,,,0.0,Yo‘q,0,4,Plastik karta,UnionPay,20,13096187,Juda faol,Ha,Ha,14.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1191491.09,Platina (Tier 1)
UZB103006,Valiyev Ulugbek,Erkak,2008-07-10,18,18-24,Andijon,Andijon shahri,998886000000.0,ulugbek.valiye27@mail.ru,2025-04-06,16,O‘rta (1-3 yil),Davr bank,Filial-030,Mass,O‘rta,Energetika,Beva,2526092,Past (< 3 mln),615,O‘rta (500-649),3955387,Yo‘q,0,,,,0.0,Ha,3093484,1,Mikroqarz,Visa Classic,10,2487164,Faol,Ha,Ha,1.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,500121.8300000001,Oddiy (Tier 3)
UZB101805,Rahimova Madina,Ayol,1979-05-06,47,45-54,Andijon,Shahrixon,998917000000.0,madina.rahimo51@mail.ru,2021-03-24,66,Uzoq muddatli (3+ yil),Tenge Bank,Filial-022,Corporate,Oliy,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,2950195,Past (< 3 mln),754,A’lo (750+),3251972,Yo‘q,0,,,,0.0,Yo‘q,0,1,Mikroqarz,Mastercard Gold,11,1118750,Faol,Yo‘q,Ha,0.0,Raqamli,Past,Rad etilgan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,479993.1,Oddiy (Tier 3)
UZB102976,Latipova Dildora,Ayol,1981-01-24,45,45-54,Andijon,Shahrixon,998905000000.0,dildora.latipo55@inbox.uz,2023-02-05,43,Uzoq muddatli (3+ yil),Anorbank,Filial-064,Corporate,O‘rta,Turizm,Bo‘ydoq,1500000,Past (< 3 mln),616,O‘rta (500-649),898516,Yo‘q,0,,,,0.0,Yo‘q,0,1,Mikroqarz,Uzcard,13,4514116,Faol,Yo‘q,Ha,0.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,285208.12,Oddiy (Tier 3)
UZB102974,Mirzayeva Oydin,Ayol,1984-05-28,42,35-44,Andijon,Andijon shahri,998911000000.0,oydin.mirzay69@gmail.com,2019-05-11,88,Uzoq muddatli (3+ yil),InFinBank,Filial-066,Retail,Bakalavr,Savdo,Bo‘ydoq,4665868,O‘rta (3-7 mln),579,O‘rta (500-649),1900527,Yo‘q,0,,,,0.0,Ha,1794380,2,Avtokredit,Visa Gold,7,1444703,O‘rtacha,Ha,Yo‘q,5.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,590507.2100000001,Oddiy (Tier 3)
UZB100855,Mamatova Sevara,Ayol,1977-03-08,49,45-54,Andijon,Asaka,998338000000.0,sevara.mamato94@inbox.uz,2024-04-26,28,O‘rta (1-3 yil),Turonbank,Filial-037,Retail,O‘rta maxsus,Sog‘liqni saqlash,Bo‘ydoq,5109465,O‘rta (3-7 mln),470,Yomon (<500),5567179,Yo‘q,0,,,,0.0,Yo‘q,0,2,Muddatli depozit,UnionPay,18,527820,Faol,Ha,Ha,0.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,799861.85,Oltin (Tier 2)
UZB100854,Ismoilova Laylo,Ayol,1965-12-26,60,55+,Andijon,Shahrixon,998935000000.0,laylo.ismoil58@umail.uz,2025-04-11,16,O‘rta (1-3 yil),Trastbank,Filial-044,Retail,O‘rta,Xizmat ko‘rsatish,Bo‘ydoq,14018553,Yuqori (7-15 mln),615,O‘rta (500-649),3402651,Yo‘q,0,,,,0.0,Ha,2087469,3,Iste’mol krediti,Uzcard,11,2349573,Faol,Ha,Ha,1.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1618979.31,Platina (Tier 1)
UZB102946,Mirzayev Otabek,Erkak,1966-02-03,60,55+,Andijon,Xonobod,998337000000.0,otabek.mirzay82@inbox.uz,2024-02-29,30,O‘rta (1-3 yil),Aloqabank,Filial-037,Mass,O‘rta,Savdo,Ajrashgan,2112636,Past (< 3 mln),724,Yaxshi (650-749),7390429,Yo‘q,0,,,,0.0,Yo‘q,0,1,Overdraft,Uzcard,19,6810318,Faol,Ha,Yo‘q,2.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,716991.41,Oltin (Tier 2)
UZB102944,Sultonov Farhod,Erkak,1970-03-23,56,55+,Andijon,Andijon shahri,998340000000.0,farhod.sulton69@gmail.com,2019-10-29,83,Uzoq muddatli (3+ yil),Trastbank,Filial-079,SME,Magistr,Xizmat ko‘rsatish,Uylangan/Turmushga chiqqan,1500000,Past (< 3 mln),505,O‘rta (500-649),34761711,Yo‘q,0,,,,0.0,Yo‘q,0,4,Ipoteка,Mastercard Standard,23,50374665,Juda faol,Ha,Ha,2.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,2895578.85,Platina (Tier 1)
UZB102879,Xolmatova Kamola,Ayol,2007-06-11,19,18-24,Andijon,Xonobod,998942000000.0,kamola.xolmat12@umail.uz,2024-12-13,20,O‘rta (1-3 yil),Agrobank,Filial-051,Mass,Oliy,IT/Texnologiya,Bo‘ydoq,3448749,O‘rta (3-7 mln),562,O‘rta (500-649),4240555,Yo‘q,0,,,,0.0,Ha,6334599,1,Omonat,Humo,3,232604,O‘rtacha,Ha,Ha,13.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,561554.73,Oddiy (Tier 3)
UZB102877,Abdullayeva Dilfuza,Ayol,1960-01-28,66,55+,Andijon,Andijon shahri,998974000000.0,dilfuza.abdull87@inbox.uz,2020-10-22,71,Uzoq muddatli (3+ yil),Universal bank,Filial-063,Retail,O‘rta,Qishloq xo‘jaligi,Uylangan/Turmushga chiqqan,4342609,O‘rta (3-7 mln),660,Yaxshi (650-749),2594819,Yo‘q,0,,,,0.0,Yo‘q,0,2,Avtokredit,Visa Gold,11,1254862,Faol,Ha,Ha,5.0,Raqamli,O‘rta,Kutilmoqda,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,589099.0900000001,Oddiy (Tier 3)
UZB100441,Sultonov Nodir,Erkak,2007-08-29,18,18-24,Andijon,Andijon shahri,998953000000.0,nodir.sulton54@yandex.ru,2025-02-01,19,O‘rta (1-3 yil),Tenge Bank,Filial-072,Retail,Oliy,Sog‘liqni saqlash,Uylangan/Turmushga chiqqan,8700701,Yuqori (7-15 mln),546,O‘rta (500-649),2449465,Yo‘q,0,,,,0.0,Ha,1009734,6,Biznes krediti,Visa Gold,8,1736273,Faol,Ha,Yo‘q,19.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1027268.81,Oltin (Tier 2)
UZB102822,Toshmatova Madina,Ayol,1979-04-18,47,45-54,Andijon,Andijon shahri,998911000000.0,madina.toshma26@inbox.uz,2020-12-05,69,Uzoq muddatli (3+ yil),Tenge Bank,Filial-040,SME,Oliy,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,13421138,Yuqori (7-15 mln),470,Yomon (<500),893476,Yo‘q,0,,,,0.0,Yo‘q,0,3,Iste’mol krediti,UnionPay,5,1432931,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1415446.2200000002,Platina (Tier 1)
UZB100466,Umarov Jamshid,Erkak,1998-10-29,27,25-34,Andijon,Andijon shahri,998955000000.0,jamshid.umarov52@mail.ru,2019-09-16,84,Uzoq muddatli (3+ yil),Milliy bank,Filial-030,Retail,O‘rta,Bank/Moliya,Bo‘ydoq,11341709,Yuqori (7-15 mln),830,A’lo (750+),705803,Yo‘q,0,,,,0.0,Yo‘q,0,1,Omonat,Mastercard Gold,7,954496,O‘rtacha,Ha,Ha,25.0,Raqamli,Juda yuqori,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1188550.97,Platina (Tier 1)
UZB100470,Abdullayev Karim,Erkak,1998-06-23,28,25-34,Andijon,Xonobod,998953000000.0,karim.abdull39@yandex.ru,2022-07-03,50,Uzoq muddatli (3+ yil),Anorbank,Filial-044,Retail,O‘rta,Transport,Bo‘ydoq,2929934,Past (< 3 mln),685,Yaxshi (650-749),3396250,Yo‘q,0,,,,0.0,Yo‘q,0,2,Kredit kartasi,Visa Classic,2,472747,Past faol,Ha,Ha,3.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,472260.84,Oddiy (Tier 3)
UZB102792,Latipova Bahora,Ayol,2008-06-11,18,18-24,Andijon,Asaka,998883000000.0,bahora.latipo50@inbox.uz,2024-10-06,22,O‘rta (1-3 yil),Turonbank,Filial-007,Corporate,Oliy,Ishlab chiqarish,Uylangan/Turmushga chiqqan,9850418,Yuqori (7-15 mln),599,O‘rta (500-649),1148772,Yo‘q,0,,,,0.0,Ha,11646548,5,Kredit kartasi,Humo,8,1000065,Faol,Ha,Yo‘q,2.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,1062481.7,Platina (Tier 1)
UZB102749,Rasulova Iqbol,Ayol,1980-06-08,46,45-54,Andijon,Xonobod,998992000000.0,iqbol.rasulo78@gmail.com,2022-12-21,44,Uzoq muddatli (3+ yil),InFinBank,Filial-048,Corporate,Bakalavr,Xizmat ko‘rsatish,Uylangan/Turmushga chiqqan,5173397,O‘rta (3-7 mln),556,O‘rta (500-649),3385274,Yo‘q,0,,,,0.0,Yo‘q,0,2,Plastik karta,Mastercard Standard,7,903843,O‘rtacha,Ha,Yo‘q,21.0,Raqamli,Yuqori,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,704680.26,Oltin (Tier 2)
UZB102735,Hasanov Aziz,Erkak,1993-10-30,32,25-34,Andijon,Xonobod,998950000000.0,aziz.hasano91@gmail.com,2022-08-02,49,Uzoq muddatli (3+ yil),Anorbank,Filial-002,Retail,Oliy,Bank/Moliya,Uylangan/Turmushga chiqqan,4920384,O‘rta (3-7 mln),616,O‘rta (500-649),86654485,Yo‘q,0,,,,0.0,Yo‘q,0,2,Kredit kartasi,Visa Gold,12,5694567,Faol,Yo‘q,Yo‘q,,An’anaviy,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),143,Faol / Sodiq,Faol / Sodiq,4938653.99,Platina (Tier 1)
